night,speach_block,speaker,text
1,1,HOLT,"Good evening everyone, I am Lester Holt and welcome to the first democratic debate in the 2020 race for president."
1,2,GUTHRIE,"Hi, I’m Savannah Guthrie and tonight it’s our first chance to see these candidates go head to head onstage together. We will be joined in our questioning tonight by our colleagues, Jose Diaz-Balart, Chuck Todd and Rachel Maddow."
1,3,HOLT,"Voters are trying to nail down where the candidates and on the issues, what sets them apart, and which of these presidential hopefuls has what it takes"
1,4,GUTHRIE,"Well, now it’s time to find out."
1,5,UNKNOWN,"Tonight round one. New Jersey Senator Cory Booker, Former Housing Secretary Julian Castro, New York City Mayor Bill De Blasio, Former Maryland Congressman John Delaney, Hawaii Congresswoman Tulsi Gabbard, Washington Governor Jay Inslee, Minnesota Senator Amy Klobuchar, Former Texas Congressman Beto O’Rourke, Ohio Congressman Tim Ryan and Massachusetts Senator Elizabeth Warren. From NBC News Decision 2020 the Democratic candidates debate live from the Adrienne Arsht Performing Arts Center in Miami, Florida."
1,6,HOLT,"Good evening again everyone. Welcome to the candidates and to our audience here in Miami here in the Arsht Center and all across the country. Tonight we are going to take on many of the most pressing issues of the moment including immigration, the situation unfolding at our border, and the treatment of migrant children."
1,7,GUTHRIE,"And we are going to talk about the tensions with Iran, climate change, and of course we will talk about the economy, those kitchen table issues so many Americans face every day."
1,8,TODD,And some quick rules of the road before we begin. Twenty candidates qualified for this first debate. We will hear from 10 tonight and 10 more tomorrow. The breakdown for each was selected at random. The candidates will have 60 seconds to answer and 30 seconds for any follow-ups.
1,9,HOLT,Because of this large field not every person will be able to comment on every of topic but over the course of the next two hours we will hear from everyone. We would also like to ask the audience to keep their reactions to a minimum. We are not going to be shy about making sure the candidates stick to time tonight.
1,10,GUTHRIE,"All right. So with a business out of the we want to get to it we will start this evening with Senator Elizabeth Warren. Senator, good evening to you."
1,11,WARREN,Thank you. It’s good to be here.
1,12,GUTHRIE,"You have many plans free college, free childcare, government healthcare, cancellation of student debt, new taxes, new regulations, the breakup of major corporations but this comes at a time when 71 percent of Americans say the economy is doing well including 60 percent of Democrats. What do you say to those who worry this kind of significant change could be risky to the economy?"
1,13,WARREN,"So I think of it this way, who is this economy really working for? It’s doing great for a thinner and thinner slice at the top. It’s doing great for giant drug companies. This is not doing great for people are trying to get a prescription filled. It’s doing great for people who want to invest in private prisons just not for the African-Americans and Latinx whose families are torn apart whose lives are destroyed and whose communities are ruined. It’s doing great for giant oil companies that want to drill everywhere just not for the rest of us who are watching climate change bear down upon us. When you’ve got a government—when you’ve got an economy that does great for those with money and isn’t doing great for everyone else that is corruption, pure and simple. We need to call it out. We need to attack it had on and we need to make structural change in our government, in our economy, and in our country."
1,14,GUTHRIE,Senator Klobuchar you have called programs like free college something you might do if you were quote a magic genie. To be blunt are the government programs and benefits that some of your rivals are offering giving your voters—people a false sense of what is actually achievable?
1,15,KLOBUCHAR,"Well, first, the economy. We know that not everyone is sharing in this prosperity and Donald Trump just sits in the White House and gloats about what is going on when you have so many people that are having trouble affording college and having trouble affording their premiums. So I do get concerned about paying for college for rich kids; I do. But I think my plan is a good one and my plan would be to first of all make community college free and make sure that everyone else besides that top percentile gets help with their education. My own dad and my sister got their first agrees with community college. There’s many paths to success as well as certifications. Secondly I would use programs. I would double them from $6000 to $12,000 a year and expand it to the number of families that get covered up to families that make up to $100,000. And then the third thing I would do is make it easier for students to pay off their student loans because I can tell you this, if billionaires"
1,16,GUTHRIE,"Senator Klobuchar, (INAUDIBLE)."
1,17,KLOBUCHAR,"can pay off their yachts, students should be able to pay off their student loans."
1,18,GUTHRIE,"That’s time, thank you. Congressman O’Rourke, what we have just been discussing and talking about is how much fundamental change to the economy is desirable and how much is actually doable. In that vein some Democrats want a marginal individual tax rate of 70 percent on the very highest earners, those making more than $10 million a year. Would you support that? And if not, what would your top individual rate be?"
1,19,O’ROURKE,"This economy has got to work for everyone and right now we know that it isn’t and it’s going to take all of us coming together to make sure that it does. (UNTRANSLATED) Right now we have a system that favors those that can pay for access and outcomes, that is how you explain an economy that is rigged to corporations and to the very wealthiest. A $2 trillion tax cut that favored corporations while they were sitting on record piles of cash and the very wealthiest in this country at a time of historic wealth inequality. A new democracy that is revised because we have returned power to the people, no pacts, no gerrymandering, automatic and same-day voter registration to bring in more voters and a new voting rights act to get rid of the barriers that are in place now."
1,20,GUTHRIE,Congressman O’Rourke
1,21,O’ROURKE,That’s how we each have a voice in our democracy and make this economy work for everybody.
1,22,GUTHRIE,"Congressman, that—that’s time, sir."
1,23,NA,NA
1,24,O’ROURKE,I would support a—a tax rate and a tax code that is fair to everyone. Tax capital at the same rate
1,25,GUTHRIE,Seventy percent?
1,26,O’ROURKE,that you—you tax ordinary income. Take the corporate tax rate up to 28 percent. You would generate the revenues
1,27,GUTHRIE,Okay. That’s time.
1,28,O’ROURKE,you need to pay for the programs we are talking about.
1,29,GUTHRIE,"That is time. Thank you. Senator Booker there is a debate on this party right now about the role of corporations as you know. Senator Warren in particular put out a plan to break up tech companies like Facebook, Amazon, and Google. You have said we should not go be running around pointing at companies and breaking them up without any kind of process. Why do you disagree?"
1,30,BOOKER,"I don’t think I disagree. I think we have a serious problem in our country with corporate consolidation. You see the evidence of that in how dignity is being strip from labor and we a people who work full-time jobs and still can’t make a living wage. We see that because consumer prices are being raised by pharmaceutical companies that often have monopolistic holds on drugs and use see that by just the fact that this is actually an economy that is hurting small businesses and not allowing them to compete. One of the most aggressive bills in the Senate to deal with corporate consolidation is mine about corporate consolidation in the ag sector. So I feel very strongly about the need to check the corporate consolidation and let the free market work. And I will tell you this I live in a low-income black and brown community. I see every single day that this economy is not working for average Americans. The indicators that are being used from GDP to Wall Street’s rankings is not helping people in my community. It is about time that we have an economy that works for everybody, not just the wealthiest in our nation."
1,31,GUTHRIE,"But quickly Senator Booker you did say that you didn’t think it was right to name names, to name companies and single them out as Senator Warren has. Briefly, why is that?"
1,32,BOOKER,"Well, again I will single out companies like Halliburton or Amazon that pay nothing in taxes and our need to change that. And when it comes to antitrust law what I would do is number one appoint judges that will enforce it; number two, have a DOJ and a Federal Trade Commission that will go through the processes necessary to check this kind of corporate concentration. At the end of the day we have too much of a problem with corporate-"
1,33,BOOKER,power growing. We see that with everything from Citizens United in the way they are trying to influence Washington. It’s about time that we have a president that fights for the people in this country.
1,34,GUTHRIE,"That’s time, sir."
1,35,BOOKER,We need to have someone that’s champion for them.
1,36,GUTHRIE,"Thank you, Senator. Senator. Warren, I mentioned you. Are you picking winners and losers?"
1,37,WARREN,"So the way I understand this is there is way too much consolidation now in giant industries in this country. That hurts workers, it hurts small businesses, it hurts independent farmers, it hurts our economy overall. And it helps constrict real innovation and growth in this economy. Now look, we’ve had the laws out there for a long time to be able to fight back. What’s been missing his courage. Courage in Washington to take on the giants. That’s part of the corruption in the system. It has been far too long that the monopolies have been making the campaign contributions, have been funding those super PACs, have been out there making sure that their influence is heard and felt in every single decision that gets made in Washington. Where I want to start this is I want to return to government to the people, and that means calling out the names of the monopolists and saying I have the courage to go after them."
1,38,GUTHRIE,Thank you.
1,39,HOLT,"Secretary Castro, my—the next question is for you. Immigrants have been talking about the pay gap for decades. What would you do to ensure that women are paid fairly in this country?"
1,40,CASTRO,"Thank you very much for that question, Lester. You know, I grew up with a mother who raised her brother Joaquin and me as a single parent, and I know what it’s like to struggle. I know what it’s like to rent a home and to worry about whether you’re going to be able to pay the rent at the first of the month and to see a mom worked very, very hard and know that moms across this country are getting paid less simply because they’re women. I would do several things starting with something we should have done a long time ago, which is to pass the equal rights amendment finally in this country. And also pursue legislation so that women are paid equal pay for equal work in this country. It’s past time that we did that And you know, we have to do this. If we want to be the most prosperous nation in the 21st century, we need to make sure that women are paid what they deserve."
1,41,HOLT,"All right, thank you. I want to put the same question to Congresswoman Gabbard. Your thoughts on equal pay."
1,42,GABBARD,"Yeah, well first of all, let’s recognize the—the situation we’re that the American people deserve a president who will put your interests ahead of the rich and powerful. That’s not what we have right now. I enlisted in the Army National Guard after the Al Qaeda terror attacks on 9/11 so I could go after those who had attacked us on that day. I still serve as a Major. I served over 16 years, deployed twice in the Middle East, and in Congress, served on the foreign affairs and armed services committees for over six years. I know the importance of our national security as well as the terribly high cost of war. And for too long, our leaders have failed us taking us from one regime change war to the next leading us into a new Cold War an arms race, tossing us trillions of our hard-earned taxpayer dollars and countless lives. This insanity must end. As president, I will take your hard-earned taxpayer dollars and instead invest those dollars into serving your needs, things like healthcare, a green economy, good paying jobs, protecting our environment, and so much more."
1,43,DIAZ-BALART,"Mayor de Blasio, good evening. You’re the mayor of the biggest city in the United States, but it’s also one of the cities in the country with the greatest gap between the wealthy and the poor. How would you address income inequality?"
