"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x69133574","x1153763948447043584",2019-07-23 20:28:55,"hadleywickham","I've been working on a total rewrite of dtplyr, which lets you take advantage of (almost all of) data.table's speed while using dplyr syntax. The package is still in development, but I'd love for you to try it out and let me know how it goes: https://t.co/MXogoZ2lvu #rstats","Tweetbot for Mac",274,,,,FALSE,FALSE,1577,371,,,"rstats",,"dtplyr.tidyverse.org","https://t.co/MXogoZ2lvu","https://dtplyr.tidyverse.org",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/hadleywickham/status/1153763948447043584","Hadley Wickham","Houston, TX","R, data, visualisation, 🐕, 🍸, 🌈. He/him","https://t.co/DWqWlxbOKK",FALSE,89211,259,2613,36558,19366,2009-08-26 23:34:46,TRUE,"https://t.co/DWqWlxbOKK","http://hadley.nz",,"https://pbs.twimg.com/profile_banners/69133574/1404410942","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/905186381995147264/7zKAG5sY_normal.jpg"
"x69133574","x1153421781476302853",2019-07-22 21:49:16,"hadleywickham","testthat 2.2.0 now on CRAN. Mostly smaller bug fixes but includes new verify_output() for testing print methods and error messages: https://t.co/hogDG3BvVp #rstats","Tweetbot for Mac",163,,,,FALSE,FALSE,111,30,,,"rstats",,"testthat.r-lib.org/reference/veri…","https://t.co/hogDG3BvVp","https://testthat.r-lib.org/reference/verify_output.html",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/hadleywickham/status/1153421781476302853","Hadley Wickham","Houston, TX","R, data, visualisation, 🐕, 🍸, 🌈. He/him","https://t.co/DWqWlxbOKK",FALSE,89211,259,2613,36558,19366,2009-08-26 23:34:46,TRUE,"https://t.co/DWqWlxbOKK","http://hadley.nz",,"https://pbs.twimg.com/profile_banners/69133574/1404410942","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/905186381995147264/7zKAG5sY_normal.jpg"
"x69133574","x1150785965750968320",2019-07-15 15:15:29,"hadleywickham","rstudio::conf(2020) is now open for registration! https://t.co/gGwAjFAztO. I hope you'll join us in SF, Jan 27-30 2020. I am personally very excited about our awesome keynote speakers: @hspter, @rdpeng, @wattenberg, @viegasf, @JennyBryan, and JJ Allaire #rstats","Tweetbot for Mac",261,,,,FALSE,FALSE,338,105,,,"rstats",,"blog.rstudio.com/2019/07/15/rst…","https://t.co/gGwAjFAztO","https://blog.rstudio.com/2019/07/15/rstudio-conf-2020/",,,,,,,,,"x24228154 x9308212 x15463062 x19920203 x2167059661","hspter rdpeng wattenberg viegasf JennyBryan","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/hadleywickham/status/1150785965750968320","Hadley Wickham","Houston, TX","R, data, visualisation, 🐕, 🍸, 🌈. He/him","https://t.co/DWqWlxbOKK",FALSE,89211,259,2613,36558,19366,2009-08-26 23:34:46,TRUE,"https://t.co/DWqWlxbOKK","http://hadley.nz",,"https://pbs.twimg.com/profile_banners/69133574/1404410942","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/905186381995147264/7zKAG5sY_normal.jpg"
"x534563976","x1153442614097657856",2019-07-22 23:12:03,"KirkDBorne","Linear and Logistic Regression in Excel and R with this free add-in (RegressIt): https://t.co/LH4p3NQZ0N
————
#Statistics #DataScience #MachineLearning #Rstats #abdsc 
————
See the RegressIt slideshow: https://t.co/LhvVlOwmZx https://t.co/BlgceYf0b2","Twitter Web App",225,,,,FALSE,FALSE,50,32,,,"Statistics DataScience MachineLearning Rstats abdsc",,"bit.ly/2YkJxN1 regressit.com/RegressItSlide…","https://t.co/LH4p3NQZ0N https://t.co/LhvVlOwmZx","http://bit.ly/2YkJxN1 https://regressit.com/RegressItSlideShow.pdf","http://pbs.twimg.com/media/EAHZ8caW4AEo8Ld.jpg","https://t.co/BlgceYf0b2","https://twitter.com/KirkDBorne/status/1153442614097657856/photo/1","photo","http://pbs.twimg.com/media/EAHZ8caW4AEo8Ld.jpg","https://t.co/BlgceYf0b2","https://twitter.com/KirkDBorne/status/1153442614097657856/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/KirkDBorne/status/1153442614097657856","Kirk Borne","Booz Allen Hamilton","Principal Data Scientist @BoozAllen. Global Speaker. Top Big Data Science & #AI Influencer. Astrophysicist (Views are my own) https://t.co/f4gsbNc00C 📊🔭","https://t.co/tWlmeuTlR7",FALSE,236581,17489,7828,104814,189204,2012-03-23 16:35:17,TRUE,"https://t.co/tWlmeuTlR7","http://www.linkedin.com/in/kirkdborne",,"https://pbs.twimg.com/profile_banners/534563976/1540268609","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1112733580948635648/s-8d1avb_normal.jpg"
"x534563976","x1151229517056245761",2019-07-16 20:38:00,"KirkDBorne","Understanding Basic to Advanced Data Structures Used in R for Efficient Coding: https://t.co/J0iT7UBHNo
——————
#BigData #DataScience #MachineLearning #Rstats #DataScientists #coding #abdsc https://t.co/ABUywcEQzd","Twitter for iPhone",188,,,,FALSE,FALSE,90,43,,,"BigData DataScience MachineLearning Rstats DataScientists coding abdsc",,"bit.ly/2Jpi59f","https://t.co/J0iT7UBHNo","https://bit.ly/2Jpi59f","http://pbs.twimg.com/media/D_n9JGBX4AEWVRw.jpg","https://t.co/ABUywcEQzd","https://twitter.com/KirkDBorne/status/1151229517056245761/photo/1","photo","http://pbs.twimg.com/media/D_n9JGBX4AEWVRw.jpg","https://t.co/ABUywcEQzd","https://twitter.com/KirkDBorne/status/1151229517056245761/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/KirkDBorne/status/1151229517056245761","Kirk Borne","Booz Allen Hamilton","Principal Data Scientist @BoozAllen. Global Speaker. Top Big Data Science & #AI Influencer. Astrophysicist (Views are my own) https://t.co/f4gsbNc00C 📊🔭","https://t.co/tWlmeuTlR7",FALSE,236581,17489,7828,104814,189204,2012-03-23 16:35:17,TRUE,"https://t.co/tWlmeuTlR7","http://www.linkedin.com/in/kirkdborne",,"https://pbs.twimg.com/profile_banners/534563976/1540268609","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1112733580948635648/s-8d1avb_normal.jpg"
"x534563976","x1151483223601504256",2019-07-17 13:26:08,"KirkDBorne","101 #MachineLearning Algorithms for #DataScience Explained, plus some Cheat Sheets: https://t.co/3WZTHAgcSH by @Rbloggers 
————
#BigData #AI #Rstats #Statistics #Algorithms #DataScientists https://t.co/tuWhnG8QKT","Twitter for iPhone",188,,,,FALSE,FALSE,116,71,,,"MachineLearning DataScience BigData AI Rstats Statistics Algorithms DataScientists",,"r-bloggers.com/101-machine-le…","https://t.co/3WZTHAgcSH","https://www.r-bloggers.com/101-machine-learning-algorithms-for-data-science-with-cheat-sheets/","http://pbs.twimg.com/media/D_rj4rxW4AU94OE.jpg","https://t.co/tuWhnG8QKT","https://twitter.com/KirkDBorne/status/1151483223601504256/photo/1","photo","http://pbs.twimg.com/media/D_rj4rxW4AU94OE.jpg http://pbs.twimg.com/media/D_rj4rzXoAAYQ3N.jpg http://pbs.twimg.com/media/D_rj4rxXkAIPuvY.jpg http://pbs.twimg.com/media/D_rj4rwXYAAoN3V.jpg","https://t.co/tuWhnG8QKT https://t.co/tuWhnG8QKT https://t.co/tuWhnG8QKT https://t.co/tuWhnG8QKT","https://twitter.com/KirkDBorne/status/1151483223601504256/photo/1 https://twitter.com/KirkDBorne/status/1151483223601504256/photo/1 https://twitter.com/KirkDBorne/status/1151483223601504256/photo/1 https://twitter.com/KirkDBorne/status/1151483223601504256/photo/1",,"x144592995","Rbloggers","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/KirkDBorne/status/1151483223601504256","Kirk Borne","Booz Allen Hamilton","Principal Data Scientist @BoozAllen. Global Speaker. Top Big Data Science & #AI Influencer. Astrophysicist (Views are my own) https://t.co/f4gsbNc00C 📊🔭","https://t.co/tWlmeuTlR7",FALSE,236581,17489,7828,104814,189204,2012-03-23 16:35:17,TRUE,"https://t.co/tWlmeuTlR7","http://www.linkedin.com/in/kirkdborne",,"https://pbs.twimg.com/profile_banners/534563976/1540268609","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1112733580948635648/s-8d1avb_normal.jpg"
"x342250615","x1151690383065112577",2019-07-18 03:09:19,"rOpenSci","☎️Community Call: Reproducible Research with R

📆Tues July 30, 9am PDT / 5pm BST

- @benmarwick intro to #researchcompendia
- @_inundata on holepunch pkg
- @annakrystalli on #ReproHack 

Details: https://t.co/NRB327gBrS

#rstats https://t.co/YhyYbpyqgF","TweetDeck",228,,,,FALSE,FALSE,61,47,,,"researchcompendia ReproHack rstats",,"ropensci.org/blog/2019/07/1…","https://t.co/NRB327gBrS","https://ropensci.org/blog/2019/07/11/commcall-jul2019/","http://pbs.twimg.com/media/D_uf2hQU4AAVUMx.png","https://t.co/YhyYbpyqgF","https://twitter.com/rOpenSci/status/1151690383065112577/photo/1","photo","http://pbs.twimg.com/media/D_uf2hQU4AAVUMx.png","https://t.co/YhyYbpyqgF","https://twitter.com/rOpenSci/status/1151690383065112577/photo/1",,"x15871746 x267256091 x15090415","benmarwick _inundata annakrystalli","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/rOpenSci/status/1151690383065112577","rOpenSci","Berkeley, CA","rOpenSci develops #rstats-based tools to facilitate open science and access to open data. Tweets by @sckottie @_inundata @StefanieButland @opencpu @ma_salmon","https://t.co/Ijujhl8x1E",FALSE,25232,593,873,4621,2157,2011-07-25 18:24:54,TRUE,"https://t.co/Ijujhl8x1E","https://ropensci.org",,"https://pbs.twimg.com/profile_banners/342250615/1398878552","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/878348237496762368/yUU7Pefs_normal.jpg"
"x342250615","x1150859572124323840",2019-07-15 20:07:58,"rOpenSci","rOpenSci Announces $678K Award from the Sloan Foundation to Expand Software Peer Review

https://t.co/OCKoln1d5U

#rstats #SoftwarePeerReview","TweetDeck",141,,,,FALSE,FALSE,150,59,,,"rstats SoftwarePeerReview",,"ropensci.org/blog/2019/07/1…","https://t.co/OCKoln1d5U","https://ropensci.org/blog/2019/07/15/expanding-software-review/",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/rOpenSci/status/1150859572124323840","rOpenSci","Berkeley, CA","rOpenSci develops #rstats-based tools to facilitate open science and access to open data. Tweets by @sckottie @_inundata @StefanieButland @opencpu @ma_salmon","https://t.co/Ijujhl8x1E",FALSE,25232,593,873,4621,2157,2011-07-25 18:24:54,TRUE,"https://t.co/Ijujhl8x1E","https://ropensci.org",,"https://pbs.twimg.com/profile_banners/342250615/1398878552","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/878348237496762368/yUU7Pefs_normal.jpg"
"x342250615","x1150862470581329920",2019-07-15 20:19:29,"rOpenSci","We're hiring a Software Research Scientist

Passionate about statistical methods and software? Develop standards and testing for statistical #rstats packages.

https://t.co/dlWBBt308N

#SoftwarePeerReview","TweetDeck",204,,,,FALSE,FALSE,51,51,,,"rstats SoftwarePeerReview",,"ropensci.org/careers/","https://t.co/dlWBBt308N","https://ropensci.org/careers/",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/rOpenSci/status/1150862470581329920","rOpenSci","Berkeley, CA","rOpenSci develops #rstats-based tools to facilitate open science and access to open data. Tweets by @sckottie @_inundata @StefanieButland @opencpu @ma_salmon","https://t.co/Ijujhl8x1E",FALSE,25232,593,873,4621,2157,2011-07-25 18:24:54,TRUE,"https://t.co/Ijujhl8x1E","https://ropensci.org",,"https://pbs.twimg.com/profile_banners/342250615/1398878552","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/878348237496762368/yUU7Pefs_normal.jpg"
"x35391464","x1153729992590864384",2019-07-23 18:14:00,"BillieJeanKing","Every single fan can act as an ambassador for the #USWNT. Buy tickets to #NWSL games, wear their gear, plan family trips to see them play. Be the change you want to see. ⚽️#GameChangers #GrowTheGame  https://t.co/mzExLkO6Q6","Twitter for iPhone",223,,,,FALSE,FALSE,792,135,,,"USWNT NWSL GameChangers GrowTheGame",,"apple.news/Arf-wd-PfQVSAO…","https://t.co/mzExLkO6Q6","https://apple.news/Arf-wd-PfQVSAOvIVrFRZXg",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/BillieJeanKing/status/1153729992590864384","Billie Jean King","New York, NY","The official Twitter account of Billie Jean King, Founder of @BJKLInitiative.","https://t.co/xGxNBShRz8",FALSE,496299,1738,1973,7349,11127,2009-04-26 03:33:25,TRUE,"https://t.co/xGxNBShRz8","http://www.billiejeanking.com",,"https://pbs.twimg.com/profile_banners/35391464/1353333613","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1148302916710731778/-OnflzAh_normal.jpg"
