status_id,created_at,screen_name,text,source,favorite_count,retweet_count
x1179417780556312576,10/2/19 15:28,JoeBiden,".@DrBiden and I are sending our best wishes to @BernieSanders, Jane, and the whole Sanders family. Anyone who knows Bernie understands what a force he is. We are confident that he will have a full and speedy recovery and look forward to seeing him on the trail soon.",Twitter Web App,10708,1263
x1179223189408419840,10/2/19 2:34,JoeBiden,President Trump is morally unfit to lead our country. https://t.co/r3SKYqK26K,Twitter Web App,50153,7709
x1179199820461797376,10/2/19 1:02,JoeBiden,"President Trump asked a foreign government to interfere in our elections, and now he's spending $10 million on attack ads against me. It's clear that he is trying to influence the primary and pick his opponent.

Why? Because he knows I’ll beat him like a drum.",TweetDeck,40220,6458
x1179170376506474496,10/1/19 23:05,JoeBiden,"Weapons of war have no place on our streets.

We must take on the @NRA and ban assault weapons and high-capacity magazines. I’ve done it before, and I’ll do it again in the White House. https://t.co/hdVTM6YVF7",Twitter Media Studio,8174,1655
x1179156534808453121,10/1/19 22:10,JoeBiden,"One of my favorite parts of debate night has become meeting our contest winners from around the country. God love ya, JoAnne. Thanks for coming to Houston.

Enter for your chance to join me at the next Democratic debate: https://t.co/2nIkSTykmS https://t.co/uPpiaxGe2s",Twitter Media Studio,862,168
x1179142897184186370,10/1/19 21:15,JoeBiden,The brave people of Hong Kong deserve the full support of the United States as they demand the civil liberties and autonomy promised to them. Violent suppression is unacceptable. The world is watching. https://t.co/ruOJWceLYr,Twitter Web App,8863,3180
x1179123064275161095,10/1/19 19:57,JoeBiden,"President Trump works for the @NRA.

I’ll work for the American people. https://t.co/vnuXbsWfDM",TweetDeck,12420,2423
x1179096137036382209,10/1/19 18:10,JoeBiden,"Two years ago, we watched in horror as 58 precious lives were cut short in the deadliest mass shooting in modern US history. As we remember those we lost in Las Vegas, we must honor them with action. We cannot let the scourge of gun violence tear our communities apart any longer.",TweetDeck,11362,1989
x1178789868811341824,9/30/19 21:53,JoeBiden,"Wonder why President Trump is lying about me? It's because he knows that I will beat him like a drum.

Chip in $5 before tonight’s public fundraising deadline to help us defeat Donald Trump and stop the outrageous lying and cheating he engages in: https://t.co/I2jAPpnURl https://t.co/yWcclnx5Zo",Twitter Media Studio,9768,1898
x1178745073564975105,9/30/19 18:55,JoeBiden,"Being middle class isn’t a number. It’s a value set. It’s about the issues that matter to every American family: a good education, economic opportunity, access to quality, affordable health care.

We've got to rebuild the middle class and, this time, ensure everyone comes along.",TweetDeck,13333,2421
x1178693484049510400,9/30/19 15:30,JoeBiden,Harris County Deputy Sandeep Dhaliwal was a hero and a trailblazer who selflessly served his community every day. @DrBiden and I are keeping his family and loved ones in our hearts. https://t.co/82ex0246hj,TweetDeck,4250,762
x1178669353987903490,9/30/19 13:54,JoeBiden,"Grateful for the leadership of @fred_guttenberg for finding purpose in tragedy.

We will beat the @NRA and end our gun violence epidemic. https://t.co/V5FaK1xDnu",Twitter Media Studio,17069,3299
x1178470766049992704,9/30/19 0:45,JoeBiden,President Trump is trying to hijack this election. We cannot let him get away with it.,TweetDeck,55523,7752
x1178459189783470082,9/29/19 23:59,JoeBiden,"We can combat climate change.
We can end our gun violence epidemic.
We can ensure every American has access to quality, affordable health care.

It’s all within our reach if we unite this country. There’s not a single thing we cannot do — together.",TweetDeck,12762,2304
x1178452395308851201,9/29/19 23:32,JoeBiden,"We must end this epidemic of violence against the transgender community — especially trans women of color. It’s up to all of us to stand up and give hate no safe harbor.

Every American deserves to live open, proud, free and without fear. https://t.co/zdfQYpEpbZ",TweetDeck,2765,629
x1178417917899100160,9/29/19 21:15,JoeBiden,"Let’s be clear, this attack is designed to weaken our unions and take away workers’ voices on the job. It’s wrong. I stand with Alaska’s public employees. https://t.co/MbZxu1Ayzz",TweetDeck,1981,509
x1178399295655075847,9/29/19 20:01,JoeBiden,"The science is clear: we cannot wait to take action on climate change.

On day one, I’ll take unprecedented steps to rally the world and tackle this crisis head on. We can and will solve this — together. https://t.co/YPymjqJZzv",TweetDeck,8558,1827
x1178384195950989313,9/29/19 19:01,JoeBiden,"On Monday, $255 million in funding expires for historically black colleges and universities and minority-serving institutions. Senate Republicans need to pass the #FUTUREAct now. Our students and educators cannot afford to wait. https://t.co/tY4o2T36AN",TweetDeck,2509,956
x1178344937030471680,9/29/19 16:25,JoeBiden,"President Trump is trying to hijack this election to distract from how he has turned his back on America's families: sabotaging our health care, prioritizing tax cuts for the super-wealthy, and rolling back our progress on climate change.

We won't let him get away with it.",TweetDeck,32120,6172
x1178308698407686144,9/29/19 14:01,JoeBiden,"To everyone in the Jewish community, @DrBiden and I wish you a very happy, healthy, and sweet New Year. #RoshHashanah https://t.co/vSwRbJWKlz",TweetDeck,3169,484
x1178100153426862081,9/29/19 0:12,JoeBiden,"The Trump Administration is responsible for the largest reduction in federally protected land — it’s wrong. As president, I will reverse President Trump's actions and protect our precious federal lands for generations to come. #NationalPublicLandsDay  https://t.co/PMh0u3rvWc",TweetDeck,23839,5379
x1178054523316604929,9/28/19 21:11,JoeBiden,"We need to take the next step in improving our nation’s health care system. The Affordable Care Act was an historic first step — we need to build on it, not start from scratch. I’ll protect and build on Obamacare to ensure everyone has access to affordable, quality health care.",TweetDeck,7160,1456
x1178033384041304064,9/28/19 19:47,JoeBiden,"It is long past time to address the devastating effects of climate change. As president, I will take action against those who knowingly harm our environment. https://t.co/6BHbmlVB37",TweetDeck,4581,843
x1178003436823965696,9/28/19 17:48,JoeBiden,It’s clear — we are in a battle for the soul of this nation. It’s time to pick our heads up and show the world who we are. We are the United States of America — there is nothing beyond our capacity.,TweetDeck,35375,5681
x1177985569055334401,9/28/19 16:37,JoeBiden,"Yesterday in Las Vegas, we discussed the crucial need to address the gun violence epidemic. Folks, it’s time to pass common-sense gun safety legislation. I’ve beaten the @NRA twice — and as president, I’ll do it again. https://t.co/5wRme6TCoJ",TweetDeck,3272,545
x1177759630858080256,9/28/19 1:39,JoeBiden,"Donald Trump has turned his back on America’s families. It’s time we rewarded work, not just wealth. https://t.co/AwSdIyY11l",Twitter Web App,9943,1617
x1177747248613974016,9/28/19 0:50,JoeBiden,"In America, health care should be a right for all. But time and again, President Trump has made it harder for underrepresented and underserved communities to access the affordable, quality health care they need.

It's shameful, and as president, I will reverse his actions. https://t.co/CkgGpAekrl",TweetDeck,1745,443
x1177719172513615872,9/27/19 22:58,JoeBiden,"We are not a country that detains migrant children indefinitely or denies them access to soap, toothbrushes, or beds.

We are a country that welcomes those in search of a better life—the tired, the poor, the huddled masses yearning to breathe free.

Trump doesn't get that. https://t.co/g6JoyGaHrb",Twitter Web App,12577,2672
x1177680113644851201,9/27/19 20:23,JoeBiden,"If those in power don't take action to end our gun violence epidemic, we must vote them out. Period. https://t.co/BVD3V6pYfu",Twitter Web App,17353,3926
x1177650598868652033,9/27/19 18:25,JoeBiden,I remember when we had a president our children could look up to. https://t.co/hW5VvXG5vU,Twitter Web App,149643,27731
x1177629222518611969,9/27/19 17:01,JoeBiden,I believe our elections should be decided by the American people — not foreign governments.,TweetDeck,73183,9298
x1177610095120867334,9/27/19 15:45,JoeBiden,"Let's be clear, President Trump is trying to hijack this election.

This isn’t a Democratic issue or a Republican issue. This is a national issue. https://t.co/me7g8R0h72",Twitter Media Studio,15793,3612
x1177399960293167104,9/27/19 1:50,JoeBiden,"It’s been 11 days since @UAW workers started their strike to fight for higher wages, good benefits, and their fair share of the profits. It’s time for GM to come to the bargaining table with a fair offer that ends the strike and gets its workers back on the job. https://t.co/rUYr35qFop",TweetDeck,1416,305
x1177384860886994951,9/27/19 0:50,JoeBiden,"Every American deserves access to quality, affordable health care—regardless of the state they live in.

We can't let President Trump continue to work with states to undermine Medicaid and prevent low-income Americans from accessing health care. https://t.co/G55JpxxJHn",TweetDeck,1712,437
x1177372529821986816,9/27/19 0:01,JoeBiden,"Every day it becomes clearer, the core values of our nation — our very democracy — are at risk with President Trump in the White House.

We must hold Trump accountable. We cannot let him get away with shredding our Constitution.",TweetDeck,28073,4701
x1177370290495639554,9/26/19 23:52,JoeBiden,"Introducing the #TeamJoe Action Center! 💻
 
We’ve made it easier than ever to get involved with our campaign, from anywhere in the country. This new online organizing hub will give you the tools you need to get to work. Learn more ⬇️ https://t.co/SRKbI2ObCl",Twitter Web App,0,185
x1177325721204613122,9/26/19 20:55,JoeBiden,I want America to be the envy of the world again. https://t.co/C69oPB7PHH,Twitter Media Studio,15407,2316
x1177286714072731649,9/26/19 18:20,JoeBiden,"Income inequality is on the rise across the country — made worse by President Trump’s tax cuts for the super-wealthy. We've got to rebuild the middle class and, this time, we’ll make sure everyone comes along. https://t.co/8aqkJJKkwg",TweetDeck,1746,422
x1177246449043562497,9/26/19 15:40,JoeBiden,"We have a President who believes there is no limit to his power, who believes he can do anything and get away with it, and who believes he is above the law.

This isn’t a Democratic issue or a Republican issue. This is a national issue.",TweetDeck,56802,9913
x1177226819646447621,9/26/19 14:22,JoeBiden,"If I am elected President, I guarantee you I will protect your family's health care as if it were my own. Because it's personal. https://t.co/rkH4V5sVP1",Twitter Media Studio,8448,1420
x1177046380503683072,9/26/19 2:25,JoeBiden,"Enjoyed sitting down with @jimmykimmel to talk about what’s at stake in this election and the urgent need to make Donald Trump a one-term president.

Tune in to @JimmyKimmelLive tonight! https://t.co/P3zjYBGOIk",TweetDeck,4017,567
x1177020459767873536,9/26/19 0:42,JoeBiden,"Donald Trump pressured Ukraine to manufacture a smear against a domestic political opponent — the “transcript” made that clear. It’s an abuse of power that violates the oath of office and undermines our democracy.

Congress must hold him accountable.",TweetDeck,48028,7798
x1177007373937868800,9/25/19 23:50,JoeBiden,"Across the country, health care premiums are rising because of President Trump. His attempts to tear down Obamacare have rattled the insurance marketplace and driven up costs for hardworking Americans. It's unacceptable. https://t.co/vXNaNKXrYW",TweetDeck,1633,436
x1176981763626864641,9/25/19 22:08,JoeBiden,President Trump’s travel ban—the Muslim ban—remains one of his most egregious attacks on our core values. Spewing the politics of fear &amp; slandering an entire religious community as complicit in terrorism is wrong &amp; goes against everything we stand for. We must overturn the ban. https://t.co/0aHS6QYcJU,Twitter Web App,6950,1421
x1176952008676388866,9/25/19 20:10,JoeBiden,"Our president put personal politics above his sacred oath. The House must do its job and hold Donald Trump to account for his abuse of power. I will do mine, making my case for a presidency that will mean real help for those in our country who need it most. https://t.co/NVbk9cnXEx",TweetDeck,7037,1471
x1176658394519916544,9/25/19 0:43,JoeBiden,"Inspired by the courage and tenacity of @GretaThunberg. She is right — we cannot fail future generations any longer. We must take urgent, drastic action to address the climate emergency before it’s too late. https://t.co/ye130EAvjh",Twitter Web App,21658,2939
x1176655052532047872,9/25/19 0:30,JoeBiden,"El derecho al voto es el derecho más sagrado como estadounidense, y depende de nosotros hacer que se escuche nuestra voz en cada elección. Dirígete a https://t.co/Hy8C4mIL2M para registrarte para votar y envíalo a cinco amigos para que también se registren.",TweetDeck,771,185
x1176646243952529408,9/24/19 23:55,JoeBiden,"President Trump cut outreach programs that help people get health insurance coverage. At every turn, he has sabotaged the ACA and made it harder for Americans to access health care. It's wrong.

I'll protect and build on Obamacare to ensure everyone receives the care they need. https://t.co/cqpSDxQeOm",TweetDeck,1616,415
x1176622336415424512,9/24/19 22:20,JoeBiden,Pressuring the leader of another nation to investigate a political opponent — to help win an election — is not the conduct of an American President. https://t.co/XlaHbHxCMI,Twitter Media Studio,16638,3309
x1176593538617884673,9/24/19 20:25,JoeBiden,President Trump's actions are an abuse of power. They undermine our national security. They violate the oath of office. If we allow a President to get away with shredding the United States Constitution — that will last forever.,Twitter Web App,58095,9316
